age,gender,education,take_vaccine,mandatory_vaccine,persona_a,persona_b,persona_c
Between 65 and 74,Man,University certificate or diploma below bachelor's level,1,1,a man aged between 65 and 74 with a university certificate or diploma below bachelor's level,a man aged between 65 and 74,a person aged between 65 and 74 with a university certificate or diploma below bachelor's level
Between 55 and 64,Man,Partial college/university education,7,7,a man aged between 55 and 64 with a partial college/university education,a man aged between 55 and 64,a person aged between 55 and 64 with a partial college/university education
Between 65 and 74,Woman,Bachelor's degree,7,7,a woman aged between 65 and 74 with a bachelor's degree,a woman aged between 65 and 74,a person aged between 65 and 74 with a bachelor's degree
Between 35 and 44,Woman,"College, CEGEP or other non-university certificate or diploma",7,6,"a woman aged between 35 and 44 with a college, cegep or other non-university certificate or diploma",a woman aged between 35 and 44,"a person aged between 35 and 44 with a college, cegep or other non-university certificate or diploma"
Between 65 and 74,Woman,Postgraduate degree above bachelor's level,7,4,a woman aged between 65 and 74 with a postgraduate degree above bachelor's level,a woman aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
Between 25 and 34,Man,Bachelor's degree,1,5,a man aged between 25 and 34 with a bachelor's degree,a man aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 35 and 44,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 35 and 44 with a postgraduate degree above bachelor's level,a man aged between 35 and 44,a person aged between 35 and 44 with a postgraduate degree above bachelor's level
Between 25 and 34,Man,Bachelor's degree,7,5,a man aged between 25 and 34 with a bachelor's degree,a man aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 18 and 24,Man,Partial college/university education,4,4,a man aged between 18 and 24 with a partial college/university education,a man aged between 18 and 24,a person aged between 18 and 24 with a partial college/university education
Between 35 and 44,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 35 and 44 with a postgraduate degree above bachelor's level,a man aged between 35 and 44,a person aged between 35 and 44 with a postgraduate degree above bachelor's level
Between 45 and 54,Woman,"College, CEGEP or other non-university certificate or diploma",6,6,"a woman aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a woman aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 25 and 34,Man,"College, CEGEP or other non-university certificate or diploma",7,7,"a man aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a man aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
75 or older,Man,Postgraduate degree above bachelor's level,7,2,a man aged 75 or older with a postgraduate degree above bachelor's level,a man aged 75 or older,a person aged 75 or older with a postgraduate degree above bachelor's level
Between 55 and 64,Man,Bachelor's degree,4,4,a man aged between 55 and 64 with a bachelor's degree,a man aged between 55 and 64,a person aged between 55 and 64 with a bachelor's degree
Between 18 and 24,Man,Bachelor's degree,6,6,a man aged between 18 and 24 with a bachelor's degree,a man aged between 18 and 24,a person aged between 18 and 24 with a bachelor's degree
Between 45 and 54,Woman,Registered Apprenticeship or other trades certificate or diploma,5,2,a woman aged between 45 and 54 with a registered apprenticeship or other trades certificate or diploma,a woman aged between 45 and 54,a person aged between 45 and 54 with a registered apprenticeship or other trades certificate or diploma
Between 35 and 44,Man,Bachelor's degree,7,6,a man aged between 35 and 44 with a bachelor's degree,a man aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 45 and 54,Woman,Postgraduate degree above bachelor's level,4,5,a woman aged between 45 and 54 with a postgraduate degree above bachelor's level,a woman aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 35 and 44,Woman,"College, CEGEP or other non-university certificate or diploma",5,2,"a woman aged between 35 and 44 with a college, cegep or other non-university certificate or diploma",a woman aged between 35 and 44,"a person aged between 35 and 44 with a college, cegep or other non-university certificate or diploma"
Between 65 and 74,Woman,"College, CEGEP or other non-university certificate or diploma",7,7,"a woman aged between 65 and 74 with a college, cegep or other non-university certificate or diploma",a woman aged between 65 and 74,"a person aged between 65 and 74 with a college, cegep or other non-university certificate or diploma"
75 or older,Woman,Postgraduate degree above bachelor's level,7,7,a woman aged 75 or older with a postgraduate degree above bachelor's level,a woman aged 75 or older,a person aged 75 or older with a postgraduate degree above bachelor's level
Between 35 and 44,Man,Bachelor's degree,7,7,a man aged between 35 and 44 with a bachelor's degree,a man aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 25 and 34,Woman,Bachelor's degree,7,7,a woman aged between 25 and 34 with a bachelor's degree,a woman aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 35 and 44,Man,Bachelor's degree,7,7,a man aged between 35 and 44 with a bachelor's degree,a man aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 45 and 54,Woman,"College, CEGEP or other non-university certificate or diploma",2,3,"a woman aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a woman aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 35 and 44,Woman,Bachelor's degree,1,1,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 18 and 24,Man,High school diploma or equivalent,5,4,a man aged between 18 and 24 with a high school diploma or equivalent,a man aged between 18 and 24,a person aged between 18 and 24 with a high school diploma or equivalent
Between 18 and 24,Woman,"College, CEGEP or other non-university certificate or diploma",7,6,"a woman aged between 18 and 24 with a college, cegep or other non-university certificate or diploma",a woman aged between 18 and 24,"a person aged between 18 and 24 with a college, cegep or other non-university certificate or diploma"
Between 35 and 44,Woman,University certificate or diploma below bachelor's level,7,2,a woman aged between 35 and 44 with a university certificate or diploma below bachelor's level,a woman aged between 35 and 44,a person aged between 35 and 44 with a university certificate or diploma below bachelor's level
Between 55 and 64,Woman,"College, CEGEP or other non-university certificate or diploma",7,7,"a woman aged between 55 and 64 with a college, cegep or other non-university certificate or diploma",a woman aged between 55 and 64,"a person aged between 55 and 64 with a college, cegep or other non-university certificate or diploma"
Between 65 and 74,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 65 and 74 with a postgraduate degree above bachelor's level,a man aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
Between 65 and 74,Woman,High school diploma or equivalent,3,4,a woman aged between 65 and 74 with a high school diploma or equivalent,a woman aged between 65 and 74,a person aged between 65 and 74 with a high school diploma or equivalent
Between 45 and 54,Man,High school diploma or equivalent,4,4,a man aged between 45 and 54 with a high school diploma or equivalent,a man aged between 45 and 54,a person aged between 45 and 54 with a high school diploma or equivalent
75 or older,Woman,Postgraduate degree above bachelor's level,7,7,a woman aged 75 or older with a postgraduate degree above bachelor's level,a woman aged 75 or older,a person aged 75 or older with a postgraduate degree above bachelor's level
Between 55 and 64,Woman,Bachelor's degree,7,2,a woman aged between 55 and 64 with a bachelor's degree,a woman aged between 55 and 64,a person aged between 55 and 64 with a bachelor's degree
Between 65 and 74,Man,"College, CEGEP or other non-university certificate or diploma",7,7,"a man aged between 65 and 74 with a college, cegep or other non-university certificate or diploma",a man aged between 65 and 74,"a person aged between 65 and 74 with a college, cegep or other non-university certificate or diploma"
Between 65 and 74,Man,Bachelor's degree,1,1,a man aged between 65 and 74 with a bachelor's degree,a man aged between 65 and 74,a person aged between 65 and 74 with a bachelor's degree
Between 65 and 74,Woman,Grade 8 or less,7,7,a woman aged between 65 and 74 with a grade 8 or less,a woman aged between 65 and 74,a person aged between 65 and 74 with a grade 8 or less
Between 65 and 74,Man,Bachelor's degree,7,7,a man aged between 65 and 74 with a bachelor's degree,a man aged between 65 and 74,a person aged between 65 and 74 with a bachelor's degree
Between 35 and 44,Woman,University certificate or diploma below bachelor's level,4,4,a woman aged between 35 and 44 with a university certificate or diploma below bachelor's level,a woman aged between 35 and 44,a person aged between 35 and 44 with a university certificate or diploma below bachelor's level
Between 55 and 64,Woman,"College, CEGEP or other non-university certificate or diploma",4,4,"a woman aged between 55 and 64 with a college, cegep or other non-university certificate or diploma",a woman aged between 55 and 64,"a person aged between 55 and 64 with a college, cegep or other non-university certificate or diploma"
Between 18 and 24,Woman,High school diploma or equivalent,7,5,a woman aged between 18 and 24 with a high school diploma or equivalent,a woman aged between 18 and 24,a person aged between 18 and 24 with a high school diploma or equivalent
Between 25 and 34,Woman,Bachelor's degree,7,2,a woman aged between 25 and 34 with a bachelor's degree,a woman aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 18 and 24,Woman,Bachelor's degree,7,6,a woman aged between 18 and 24 with a bachelor's degree,a woman aged between 18 and 24,a person aged between 18 and 24 with a bachelor's degree
Between 45 and 54,Man,High school diploma or equivalent,4,5,a man aged between 45 and 54 with a high school diploma or equivalent,a man aged between 45 and 54,a person aged between 45 and 54 with a high school diploma or equivalent
Between 25 and 34,Man,Registered Apprenticeship or other trades certificate or diploma,3,2,a man aged between 25 and 34 with a registered apprenticeship or other trades certificate or diploma,a man aged between 25 and 34,a person aged between 25 and 34 with a registered apprenticeship or other trades certificate or diploma
Between 65 and 74,Man,Some high school,7,7,a man aged between 65 and 74 with a some high school,a man aged between 65 and 74,a person aged between 65 and 74 with a some high school
Between 35 and 44,Woman,Bachelor's degree,1,2,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 35 and 44,Woman,Bachelor's degree,7,4,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 45 and 54,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 45 and 54 with a postgraduate degree above bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 45 and 54,Man,Postgraduate degree above bachelor's level,4,2,a man aged between 45 and 54 with a postgraduate degree above bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 35 and 44,Man,Bachelor's degree,7,7,a man aged between 35 and 44 with a bachelor's degree,a man aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 45 and 54,Man,Partial college/university education,1,1,a man aged between 45 and 54 with a partial college/university education,a man aged between 45 and 54,a person aged between 45 and 54 with a partial college/university education
Between 55 and 64,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 55 and 64 with a postgraduate degree above bachelor's level,a man aged between 55 and 64,a person aged between 55 and 64 with a postgraduate degree above bachelor's level
Between 55 and 64,Man,High school diploma or equivalent,7,7,a man aged between 55 and 64 with a high school diploma or equivalent,a man aged between 55 and 64,a person aged between 55 and 64 with a high school diploma or equivalent
Between 55 and 64,Woman,University certificate or diploma below bachelor's level,7,7,a woman aged between 55 and 64 with a university certificate or diploma below bachelor's level,a woman aged between 55 and 64,a person aged between 55 and 64 with a university certificate or diploma below bachelor's level
Between 45 and 54,Woman,Bachelor's degree,7,1,a woman aged between 45 and 54 with a bachelor's degree,a woman aged between 45 and 54,a person aged between 45 and 54 with a bachelor's degree
Between 25 and 34,Woman,"College, CEGEP or other non-university certificate or diploma",4,1,"a woman aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a woman aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 25 and 34,Man,Postgraduate degree above bachelor's level,6,3,a man aged between 25 and 34 with a postgraduate degree above bachelor's level,a man aged between 25 and 34,a person aged between 25 and 34 with a postgraduate degree above bachelor's level
Between 55 and 64,Woman,"College, CEGEP or other non-university certificate or diploma",7,7,"a woman aged between 55 and 64 with a college, cegep or other non-university certificate or diploma",a woman aged between 55 and 64,"a person aged between 55 and 64 with a college, cegep or other non-university certificate or diploma"
75 or older,Woman,Postgraduate degree above bachelor's level,7,3,a woman aged 75 or older with a postgraduate degree above bachelor's level,a woman aged 75 or older,a person aged 75 or older with a postgraduate degree above bachelor's level
Between 35 and 44,Woman,Bachelor's degree,7,6,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 35 and 44,Woman,Bachelor's degree,6,5,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 45 and 54,Man,Registered Apprenticeship or other trades certificate or diploma,5,5,a man aged between 45 and 54 with a registered apprenticeship or other trades certificate or diploma,a man aged between 45 and 54,a person aged between 45 and 54 with a registered apprenticeship or other trades certificate or diploma
Between 65 and 74,Man,Bachelor's degree,7,6,a man aged between 65 and 74 with a bachelor's degree,a man aged between 65 and 74,a person aged between 65 and 74 with a bachelor's degree
Between 55 and 64,Man,Bachelor's degree,1,1,a man aged between 55 and 64 with a bachelor's degree,a man aged between 55 and 64,a person aged between 55 and 64 with a bachelor's degree
Between 35 and 44,Man,"College, CEGEP or other non-university certificate or diploma",7,4,"a man aged between 35 and 44 with a college, cegep or other non-university certificate or diploma",a man aged between 35 and 44,"a person aged between 35 and 44 with a college, cegep or other non-university certificate or diploma"
Between 35 and 44,Woman,"College, CEGEP or other non-university certificate or diploma",6,6,"a woman aged between 35 and 44 with a college, cegep or other non-university certificate or diploma",a woman aged between 35 and 44,"a person aged between 35 and 44 with a college, cegep or other non-university certificate or diploma"
Between 45 and 54,Man,Registered Apprenticeship or other trades certificate or diploma,2,2,a man aged between 45 and 54 with a registered apprenticeship or other trades certificate or diploma,a man aged between 45 and 54,a person aged between 45 and 54 with a registered apprenticeship or other trades certificate or diploma
Between 25 and 34,Man,Postgraduate degree above bachelor's level,5,4,a man aged between 25 and 34 with a postgraduate degree above bachelor's level,a man aged between 25 and 34,a person aged between 25 and 34 with a postgraduate degree above bachelor's level
Between 35 and 44,Man,Postgraduate degree above bachelor's level,2,3,a man aged between 35 and 44 with a postgraduate degree above bachelor's level,a man aged between 35 and 44,a person aged between 35 and 44 with a postgraduate degree above bachelor's level
Between 65 and 74,Woman,Bachelor's degree,6,7,a woman aged between 65 and 74 with a bachelor's degree,a woman aged between 65 and 74,a person aged between 65 and 74 with a bachelor's degree
Between 65 and 74,Woman,High school diploma or equivalent,6,7,a woman aged between 65 and 74 with a high school diploma or equivalent,a woman aged between 65 and 74,a person aged between 65 and 74 with a high school diploma or equivalent
Between 65 and 74,Man,Postgraduate degree above bachelor's level,6,5,a man aged between 65 and 74 with a postgraduate degree above bachelor's level,a man aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
Between 45 and 54,Man,Bachelor's degree,7,6,a man aged between 45 and 54 with a bachelor's degree,a man aged between 45 and 54,a person aged between 45 and 54 with a bachelor's degree
Between 25 and 34,Woman,"College, CEGEP or other non-university certificate or diploma",1,1,"a woman aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a woman aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 18 and 24,Man,Bachelor's degree,7,7,a man aged between 18 and 24 with a bachelor's degree,a man aged between 18 and 24,a person aged between 18 and 24 with a bachelor's degree
Between 45 and 54,Woman,Registered Apprenticeship or other trades certificate or diploma,7,7,a woman aged between 45 and 54 with a registered apprenticeship or other trades certificate or diploma,a woman aged between 45 and 54,a person aged between 45 and 54 with a registered apprenticeship or other trades certificate or diploma
Between 25 and 34,Man,"College, CEGEP or other non-university certificate or diploma",1,1,"a man aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a man aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 18 and 24,Man,High school diploma or equivalent,7,7,a man aged between 18 and 24 with a high school diploma or equivalent,a man aged between 18 and 24,a person aged between 18 and 24 with a high school diploma or equivalent
Between 35 and 44,Man,Registered Apprenticeship or other trades certificate or diploma,2,1,a man aged between 35 and 44 with a registered apprenticeship or other trades certificate or diploma,a man aged between 35 and 44,a person aged between 35 and 44 with a registered apprenticeship or other trades certificate or diploma
Between 35 and 44,Man,Postgraduate degree above bachelor's level,2,1,a man aged between 35 and 44 with a postgraduate degree above bachelor's level,a man aged between 35 and 44,a person aged between 35 and 44 with a postgraduate degree above bachelor's level
Between 25 and 34,Woman,"College, CEGEP or other non-university certificate or diploma",7,6,"a woman aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a woman aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 35 and 44,Woman,University certificate or diploma below bachelor's level,1,1,a woman aged between 35 and 44 with a university certificate or diploma below bachelor's level,a woman aged between 35 and 44,a person aged between 35 and 44 with a university certificate or diploma below bachelor's level
Between 35 and 44,Woman,"College, CEGEP or other non-university certificate or diploma",7,7,"a woman aged between 35 and 44 with a college, cegep or other non-university certificate or diploma",a woman aged between 35 and 44,"a person aged between 35 and 44 with a college, cegep or other non-university certificate or diploma"
Between 45 and 54,Man,University certificate or diploma below bachelor's level,3,6,a man aged between 45 and 54 with a university certificate or diploma below bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a university certificate or diploma below bachelor's level
Between 25 and 34,Woman,Bachelor's degree,7,7,a woman aged between 25 and 34 with a bachelor's degree,a woman aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 25 and 34,Man,High school diploma or equivalent,7,7,a man aged between 25 and 34 with a high school diploma or equivalent,a man aged between 25 and 34,a person aged between 25 and 34 with a high school diploma or equivalent
Between 55 and 64,Woman,Some high school,3,4,a woman aged between 55 and 64 with a some high school,a woman aged between 55 and 64,a person aged between 55 and 64 with a some high school
Between 45 and 54,Man,Bachelor's degree,7,1,a man aged between 45 and 54 with a bachelor's degree,a man aged between 45 and 54,a person aged between 45 and 54 with a bachelor's degree
Between 25 and 34,Woman,Postgraduate degree above bachelor's level,7,7,a woman aged between 25 and 34 with a postgraduate degree above bachelor's level,a woman aged between 25 and 34,a person aged between 25 and 34 with a postgraduate degree above bachelor's level
Between 45 and 54,Man,"College, CEGEP or other non-university certificate or diploma",5,5,"a man aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a man aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 18 and 24,Woman,Bachelor's degree,7,7,a woman aged between 18 and 24 with a bachelor's degree,a woman aged between 18 and 24,a person aged between 18 and 24 with a bachelor's degree
Between 18 and 24,Woman,Bachelor's degree,7,7,a woman aged between 18 and 24 with a bachelor's degree,a woman aged between 18 and 24,a person aged between 18 and 24 with a bachelor's degree
Between 25 and 34,Woman,High school diploma or equivalent,1,1,a woman aged between 25 and 34 with a high school diploma or equivalent,a woman aged between 25 and 34,a person aged between 25 and 34 with a high school diploma or equivalent
Between 25 and 34,Man,Partial college/university education,5,6,a man aged between 25 and 34 with a partial college/university education,a man aged between 25 and 34,a person aged between 25 and 34 with a partial college/university education
Between 65 and 74,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 65 and 74 with a postgraduate degree above bachelor's level,a man aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
Between 65 and 74,Man,High school diploma or equivalent,7,2,a man aged between 65 and 74 with a high school diploma or equivalent,a man aged between 65 and 74,a person aged between 65 and 74 with a high school diploma or equivalent
Between 65 and 74,Man,Registered Apprenticeship or other trades certificate or diploma,6,7,a man aged between 65 and 74 with a registered apprenticeship or other trades certificate or diploma,a man aged between 65 and 74,a person aged between 65 and 74 with a registered apprenticeship or other trades certificate or diploma
Between 65 and 74,Man,High school diploma or equivalent,7,7,a man aged between 65 and 74 with a high school diploma or equivalent,a man aged between 65 and 74,a person aged between 65 and 74 with a high school diploma or equivalent
Between 45 and 54,Woman,Bachelor's degree,3,1,a woman aged between 45 and 54 with a bachelor's degree,a woman aged between 45 and 54,a person aged between 45 and 54 with a bachelor's degree
Between 55 and 64,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 55 and 64 with a postgraduate degree above bachelor's level,a man aged between 55 and 64,a person aged between 55 and 64 with a postgraduate degree above bachelor's level
Between 35 and 44,Woman,"College, CEGEP or other non-university certificate or diploma",7,7,"a woman aged between 35 and 44 with a college, cegep or other non-university certificate or diploma",a woman aged between 35 and 44,"a person aged between 35 and 44 with a college, cegep or other non-university certificate or diploma"
Between 35 and 44,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 35 and 44 with a postgraduate degree above bachelor's level,a man aged between 35 and 44,a person aged between 35 and 44 with a postgraduate degree above bachelor's level
Between 18 and 24,Man,"College, CEGEP or other non-university certificate or diploma",5,5,"a man aged between 18 and 24 with a college, cegep or other non-university certificate or diploma",a man aged between 18 and 24,"a person aged between 18 and 24 with a college, cegep or other non-university certificate or diploma"
Between 18 and 24,Man,Partial college/university education,5,5,a man aged between 18 and 24 with a partial college/university education,a man aged between 18 and 24,a person aged between 18 and 24 with a partial college/university education
Between 45 and 54,Man,"College, CEGEP or other non-university certificate or diploma",7,7,"a man aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a man aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 45 and 54,Man,"College, CEGEP or other non-university certificate or diploma",7,7,"a man aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a man aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 55 and 64,Man,University certificate or diploma below bachelor's level,7,7,a man aged between 55 and 64 with a university certificate or diploma below bachelor's level,a man aged between 55 and 64,a person aged between 55 and 64 with a university certificate or diploma below bachelor's level
Between 45 and 54,Man,"College, CEGEP or other non-university certificate or diploma",7,5,"a man aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a man aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 25 and 34,Man,"College, CEGEP or other non-university certificate or diploma",6,2,"a man aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a man aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 65 and 74,Man,Registered Apprenticeship or other trades certificate or diploma,7,7,a man aged between 65 and 74 with a registered apprenticeship or other trades certificate or diploma,a man aged between 65 and 74,a person aged between 65 and 74 with a registered apprenticeship or other trades certificate or diploma
Between 18 and 24,Woman,Partial college/university education,7,5,a woman aged between 18 and 24 with a partial college/university education,a woman aged between 18 and 24,a person aged between 18 and 24 with a partial college/university education
Between 65 and 74,Man,"College, CEGEP or other non-university certificate or diploma",7,5,"a man aged between 65 and 74 with a college, cegep or other non-university certificate or diploma",a man aged between 65 and 74,"a person aged between 65 and 74 with a college, cegep or other non-university certificate or diploma"
Between 25 and 34,Man,"College, CEGEP or other non-university certificate or diploma",7,6,"a man aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a man aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 55 and 64,Man,Postgraduate degree above bachelor's level,7,3,a man aged between 55 and 64 with a postgraduate degree above bachelor's level,a man aged between 55 and 64,a person aged between 55 and 64 with a postgraduate degree above bachelor's level
Between 65 and 74,Woman,Postgraduate degree above bachelor's level,7,7,a woman aged between 65 and 74 with a postgraduate degree above bachelor's level,a woman aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
Between 25 and 34,Man,Bachelor's degree,7,7,a man aged between 25 and 34 with a bachelor's degree,a man aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 55 and 64,Woman,"College, CEGEP or other non-university certificate or diploma",1,1,"a woman aged between 55 and 64 with a college, cegep or other non-university certificate or diploma",a woman aged between 55 and 64,"a person aged between 55 and 64 with a college, cegep or other non-university certificate or diploma"
75 or older,Man,Registered Apprenticeship or other trades certificate or diploma,7,7,a man aged 75 or older with a registered apprenticeship or other trades certificate or diploma,a man aged 75 or older,a person aged 75 or older with a registered apprenticeship or other trades certificate or diploma
Between 18 and 24,Woman,Partial college/university education,7,5,a woman aged between 18 and 24 with a partial college/university education,a woman aged between 18 and 24,a person aged between 18 and 24 with a partial college/university education
Between 35 and 44,Woman,Bachelor's degree,7,4,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 45 and 54,Woman,High school diploma or equivalent,1,1,a woman aged between 45 and 54 with a high school diploma or equivalent,a woman aged between 45 and 54,a person aged between 45 and 54 with a high school diploma or equivalent
Between 65 and 74,Man,Registered Apprenticeship or other trades certificate or diploma,6,6,a man aged between 65 and 74 with a registered apprenticeship or other trades certificate or diploma,a man aged between 65 and 74,a person aged between 65 and 74 with a registered apprenticeship or other trades certificate or diploma
Between 25 and 34,Man,Bachelor's degree,7,7,a man aged between 25 and 34 with a bachelor's degree,a man aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 55 and 64,Man,Postgraduate degree above bachelor's level,6,6,a man aged between 55 and 64 with a postgraduate degree above bachelor's level,a man aged between 55 and 64,a person aged between 55 and 64 with a postgraduate degree above bachelor's level
Between 45 and 54,Woman,High school diploma or equivalent,6,1,a woman aged between 45 and 54 with a high school diploma or equivalent,a woman aged between 45 and 54,a person aged between 45 and 54 with a high school diploma or equivalent
Between 55 and 64,Man,Bachelor's degree,1,1,a man aged between 55 and 64 with a bachelor's degree,a man aged between 55 and 64,a person aged between 55 and 64 with a bachelor's degree
Between 65 and 74,Woman,Partial college/university education,7,7,a woman aged between 65 and 74 with a partial college/university education,a woman aged between 65 and 74,a person aged between 65 and 74 with a partial college/university education
Between 65 and 74,Woman,Postgraduate degree above bachelor's level,7,7,a woman aged between 65 and 74 with a postgraduate degree above bachelor's level,a woman aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
Between 65 and 74,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 65 and 74 with a postgraduate degree above bachelor's level,a man aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
Between 45 and 54,Man,Postgraduate degree above bachelor's level,3,3,a man aged between 45 and 54 with a postgraduate degree above bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 35 and 44,Man,High school diploma or equivalent,4,3,a man aged between 35 and 44 with a high school diploma or equivalent,a man aged between 35 and 44,a person aged between 35 and 44 with a high school diploma or equivalent
Between 55 and 64,Man,High school diploma or equivalent,7,7,a man aged between 55 and 64 with a high school diploma or equivalent,a man aged between 55 and 64,a person aged between 55 and 64 with a high school diploma or equivalent
Between 35 and 44,Woman,Bachelor's degree,4,1,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 18 and 24,Man,"College, CEGEP or other non-university certificate or diploma",2,7,"a man aged between 18 and 24 with a college, cegep or other non-university certificate or diploma",a man aged between 18 and 24,"a person aged between 18 and 24 with a college, cegep or other non-university certificate or diploma"
Between 18 and 24,Woman,Bachelor's degree,7,7,a woman aged between 18 and 24 with a bachelor's degree,a woman aged between 18 and 24,a person aged between 18 and 24 with a bachelor's degree
Between 65 and 74,Man,Registered Apprenticeship or other trades certificate or diploma,7,7,a man aged between 65 and 74 with a registered apprenticeship or other trades certificate or diploma,a man aged between 65 and 74,a person aged between 65 and 74 with a registered apprenticeship or other trades certificate or diploma
Between 35 and 44,Woman,"College, CEGEP or other non-university certificate or diploma",2,1,"a woman aged between 35 and 44 with a college, cegep or other non-university certificate or diploma",a woman aged between 35 and 44,"a person aged between 35 and 44 with a college, cegep or other non-university certificate or diploma"
Between 25 and 34,Transgender/two-spirit/non-binary,"College, CEGEP or other non-university certificate or diploma",7,7,"a transgender/two-spirit/non-binary aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a transgender/two-spirit/non-binary aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 65 and 74,Man,"College, CEGEP or other non-university certificate or diploma",7,7,"a man aged between 65 and 74 with a college, cegep or other non-university certificate or diploma",a man aged between 65 and 74,"a person aged between 65 and 74 with a college, cegep or other non-university certificate or diploma"
