author,text,bias,type,audience
Frederica Wilson (Representative from Florida),Passing a serious employment agenda like the American Jobs Act would create up to 2 million jobs http://t.co/GE2jijDDrN,neutral,support,national
Jim Himes (Representative from Connecticut),"Got a mess of oysters and clams out on Sound this morning. These guys have a rendezvous with white wine, fresh garlic, shallots and pepper.",neutral,personal,national
Robert Goodlatte (Representative from Virginia),#VA06 Staff Open Door Meeting today in Elkton at the Community Center. More details here: http://t.co/0o2x9YX9uG,neutral,media,constituency
Doug Lamborn (Representative from Colorado),Will be speaking at approx. 10:30am MT supporting @RepBillJohnson &amp; HR 2824 to protect coal jobs &amp; production in USA http://t.co/wxyMObZqeg,neutral,media,national
David Price (Representative from North Carolina),ICYMI-I talked to @jmartNYT for a @nytimes story on the #VRA ruling &amp; voter suppression across the south #ncpol http://t.co/KBgz0Xuhj6,neutral,information,national
Jim Renacci (Representative from Ohio),Happy to be address a good group in #Fairviewpark always good to be in #Cuyahoga County #OH16 http://t.co/SIqpphZuyS,neutral,information,constituency
Vern Buchanan (Representative from Florida),The #IRS's gross abuse of power would have our founding fathers rolling in their graves http://t.co/yZJCAXjpsg,neutral,personal,national
Barbara Boxer (Senator from California),"#RyanBudget hurts everyone in this country. When it comes to Medicare, it hurts seniors on the program now and seniors in the future.",neutral,support,national
Grace Napolitano (Representative from California),"A fond and loving farewell to the 38th District. Thanks for your continued support, partnerships, and public service. http://t.co/seNZEdBy",neutral,personal,constituency
Carol Shea-Porter (Representative from New Hampshire),"Talked w/Alexis, rising star involved in @NEAStudents, about student loan debt. An inspiration! #degreesnotdebt http://t.co/7okwFUJXqX",neutral,information,national
Niki Tsongas (Representative from Massachusetts),.@LowellFolkFest this weekend! Great music and fun with food from around the world. #LowellFolk http://t.co/xtWyijXN4m,neutral,personal,constituency
Blake Farenthold (Representative from Texas),"That tradition continues today. On #MemorialDay, we come together to remember those who sacrificed their lives in defense of our freedoms.",neutral,personal,national
Edward Markey (Senator from Massachusetts),"Join me, @SenWarren @MayorTomMenino &amp; Rep Capuano at Faneuil Hall #Boston today at 11AM. #DemandAction @nomorenames http://t.co/Q5ulw6lgm4",neutral,personal,constituency
Mario Diaz-Balart (Representative from Florida),"During the #BAmericaFPI trip, we visited the 9/11 memorial to remember all those who were lost on that tragic day. http://t.co/jOfozSR4RX",neutral,personal,national
John Carney (Representative from Delaware),"Congrats to Courtney Voshell, @DrVosh_DHS, from Dover High on being named National Assistant Principal of the Year! http://t.co/m8Jo8BWGco",neutral,personal,national
Peter Visclosky (Representative from Indiana),PeteÛªs #Jobs and #Opportunity Fair is set for 10/21 in Mich. City on 10/21. Visit http://t.co/I4DyiwxfuW for more. http://t.co/Y8DOHZmaB6,neutral,information,constituency
Cory Booker (Senator from New Jersey),@JayKravetz Great to bump into you Jay!,neutral,personal,constituency
Lee Terry (Representative from Nebraska),"@TheKevinGrace Kevin, we actually pre-taped that interview Thursday. But Happy Birthday Walter.",neutral,media,national
Candice Miller (Representative from Michigan),Seeing the great work of Co-op Elevator reaffirms importance of understanding Michigan Ag http://t.co/SFZpfvK09A http://t.co/njqKf9CVKv,neutral,policy,constituency
Brian Higgins (Representative from New York),"Instead of fighting a war on #cancer, Tea Party is waging a war on cancer patients http://t.co/9maVFy9f3y",neutral,information,constituency
Bernard Sanders (Senator from Vermont),1.3 million #veterans received mental health treatment in 2012 and there were 17 million outpatient mental health visits in that same year.,neutral,policy,national
Don Young (Representative from Alaska),17 billionth barrel of oil entered TAPS this weekend. Thx @AlyeskaPipeline and the countless individuals fueling this vital AK lifeline,neutral,personal,national
Paul Ryan (Representative from Wisconsin),Watch todayÛªs Budget Committee hearing on the PresidentÛªs funding request for overseas contingency operations here: http://t.co/MZGSekCLPE,neutral,support,national
Patty Murray (Senator from Washington),Pell grants &amp; student loans were what allowed my 6 siblings &amp; I to go to college after dad got sick &amp; had to leave his job #dontdoublemyrate,neutral,policy,national
Stephen Fincher (Representative from Tennessee),Just introduced my Manufactured Housing bill to the House @FinancialCmte for markup. #congress #tn08 #fiservices,neutral,policy,national
Michael McCaul (Representative from Texas),RT @HouseHomeland: ICYMI: Chairman @McCaulPressShop on @CBSThisMorning on the #Boston bombing investigation and yesterday's hearing: http:/Û_,neutral,information,national
Rand Paul (Senator from Kentucky),"""I dont care if it is a Dem. or Repub. President, this is about authority."" Watch my full interview w/ @seanhannity- http://t.co/6l09cGMw1R",neutral,media,national
Keith Ellison (Representative from Minnesota),Folks gathered at the Federal Government Fueled Low Wage Economy: Low Wage Worker meeting at CBC-ALC. http://t.co/ZQIL1lVGZA,neutral,media,national
Frank Lautenberg (Senator from New Jersey),TY &amp; keep fighting! MT @CecileRichards Sending a special Happy Valentines wish to @FrankLautenberg - a lifelong champion for women &amp; girls!,neutral,support,national
John Delaney (Representative from Maryland),"Looking forward to meeting environmental science students at Frederick HS this afternoon, right after my lunch with seniors",neutral,personal,constituency
Lucille Roybal-Allard (Representative from California),"Spkr Boehner should join Dems to put #middleclassfirst, not waste tax dollars on #GOPLawsuit. http://t.co/hIiyrJRPSQ http://t.co/I8ecfWZJ8v",neutral,support,national
Randy Hultgren (Representative from Illinois),LIVE NOW: Honored to be presiding over House debate today: http://t.co/UXdw9ULflM,neutral,personal,national
Martha Roby (Representative from Alabama),Do you have satellite radio? I'll be on POTUS XM's @MorningBriefing with Tim Farley talking #yourtime this am at 7:20 eastern. Channel 124,neutral,media,national
Timothy Bishop (Representative from New York),On this day day in 1964 the Civil Rights Act was signed into law..https://t.co/fEnfMzUr1B,neutral,information,national
Jason Chaffetz (Representative from Utah),I answered the call of @beckylockhart - Ice Bucket Challenge to fight cancer https://t.co/AfvsK5NNFT I challenge @MayorBenMcAdams #utpol,neutral,mobilization,national
Sam Farr (Representative from California),"Pres is right, 50 years of isolation has not worked. We need to increase people to people exchanges. #CubaPolicy",neutral,support,national
Dina Titus (Representative from Nevada),"I voted to reopen the govt., put people back to work, &amp; protect our country from an unprecedented financial crisis http://t.co/QMyc7C710u",neutral,support,national
Elizabeth Esty (Representative from Connecticut),Great to be in Farmington for @jacksonlab grand opening. New facilities will bring cutting-edge research &amp; jobs to CT http://t.co/81gb8yxJ4L,neutral,personal,constituency
Patrick Leahy (Senator from Vermont),Watch @CSPAN live Tues as Senate Judiciary Committee holds hearing on constitutional amdt to #GetMoneyOut of politics. Start time 10:30am,neutral,media,national
Mo Brooks (Representative from Alabama),Town Hall tonight at the Priceville City Hall at 7 PM - hope y'all will come out and join the discussion! http://t.co/SAkxKBmyuS,neutral,support,national
Larry Bucshon (Representative from Indiana),Great discussion today in Vincennes on how we can best address workforce development here in S. Indiana. #IN08 http://t.co/YewfBHVRhs,neutral,constituency,constituency
Jan Schakowsky (Representative from Illinois),.@USArmy Veteran Carl Wilson served in WWII. He's an Evanstonian &amp; he's 101! Thank you for your service! #VeteransDay http://t.co/LXTfYdAOR6,neutral,personal,national
Steve Israel (Representative from New York),Wishing all those who celebrate a Happy #Diwali!,neutral,support,national
Alan Lowenthal (Representative from California),#NOH8onTheHill made the @washingtonpost! I was so proud to help out with such a great event...http://t.co/5nywyqOIvz,neutral,information,national
Jerrold Nadler (Representative from New York),Proud to #StandWithPeggy. Pregnant workers shouldn't have to choose between a healthy pregnancy and a paycheck. http://t.co/QtUrgQRr1Z,neutral,support,national
Vicky Hartzler (Representative from Missouri),Not what you want to be reading with your morning coffee: https://t.co/gPLB1qlhTK,neutral,policy,national
Cory Booker (Senator from New Jersey),"@wdharrisjr LOL, I'm happy to hear that. Your career is worthy of much more than 140 charters.",neutral,support,national
Tom Udall (Senator from New Mexico),"W/ record #nmdrought we must provide some relief. #farmbill renews disaster assistance programs, makes them retroactive. Glad we got it done",neutral,policy,national
Rush Holt (Representative from New Jersey),"Come by campaign HQ today ÛÒ 14 Washington Rd, Bldg 2, West Windsor ÛÒ to sign a petition before the deadline.",neutral,mobilization,national
Tom Cotton (Representative from Arkansas),Great meeting with Mike Moss with Triumph Fabrications this afternoon! Thanks for stopping by. http://t.co/Hlf5lknKCb,neutral,constituency,constituency
Joe Barton (Representative from Texas),Traveling 6th District! Spent Tues speaking to @fwhcc &amp; awarding Ryan Esplin the TDF Foundation Veterans Scholarship https://t.co/JYLQNqaMwJ,neutral,personal,constituency
Jim Costa (Representative from California),"RT @comfoodjustice: ""We need to work towards a better definition of what 'rural' means"" @RepJimCosta #FairFarmBill #FarmBill",neutral,policy,national
Elijah Cummings (Representative from Maryland),"All 15 IRS employees interviewed- including self-IDÛªed Republicans, say no political motivation or WH role #IRS http://t.co/Scm9DFWehO",neutral,support,national
Jeanne Shaheen (Senator from New Hampshire),"Great news! Pease officially selected to receive new KC-46A tanker ÛÒ big win for NH jobs, economy &amp; natl security: http://t.co/swWzKgX1yt",neutral,support,national
Eric Cantor (Representative from Virginia),The House will vote this week to #DefundObamacare and keep the government open.,neutral,support,national
Chellie Pingree (Representative from Maine),At India St Free Clinic. It's their 20th year of delivering quality health care to those in need. #mepolitics http://t.co/ZKNVjsFczn,neutral,policy,constituency
David Price (Representative from North Carolina),Release: Price Issues Statement on Oklahoma Disaster #ncpol #Oklahoma http://t.co/7NBfCmqkBc,neutral,policy,national
Frederica Wilson (Representative from Florida),@clancycnn: There are some TWO HUNDRED #ChibokGirls waiting for all of us to do SOMETHING.  #BRINGBACKOURGIRLS Now.  Today. #JoinRepWilson,neutral,personal,national
Chris Collins (Representative from New York),ÛÏThe fog of #ObamaCareÛ op-ed in @washingtonpost today highlights the uncertainties ObamaCare brings to #SmallBiz. http://t.co/moiF4LnP8q.,neutral,policy,national
Bill Flores (Representative from Texas),Please check out my latest e-newsletter: http://t.co/SzSoA625gf #TX17,neutral,mobilization,constituency
Tulsi Gabbard (Representative from Hawaii),Good morning! Tune in during the 6am hour today to @KHONnews to hear from Rep. Gabbard on ISIS &amp; more: http://t.co/y78T1ZJcXr,neutral,media,constituency
Tammy Duckworth (Representative from Illinois),"Thanks, @ALSChicago, for talking to me today about ALS research: http://t.co/HNqezrUNwF",neutral,information,national
Dean Heller (Senator from Nevada),One of the best displays of sportsmanship &amp; it comes straight out of the @CityofReno. Article via @rgjÛªs @GuyClifton: http://t.co/8x2QkzIPWt,neutral,information,national
K. Conaway (Representative from Texas),"#GeorgeHWBush Leadership and commitment to public service
http://t.co/FgVMlcn4L8",neutral,support,national
Michael Bennet (Senator from Colorado),We're keeping our @CrowdHall open one more week. Submit your ideas for naming the new patent office here: http://t.co/GUpe9jbxgF,neutral,information,national
Brian Higgins (Representative from New York),WWII Vet Neil OÛªDonnell used comm skills learned in @USArmy as pioneer in Bflo broadcasting at @news4buffalo http://t.co/lCreQjcHT9,neutral,support,national
Michelle Lujan Grisham (Representative from New Mexico),I released a statement on the appointment of a new acting director for New Mexico's VA. Read it here: http://t.co/q9DSNEHHyo,neutral,personal,national
Dave Joyce (Representative from Ohio),Great to be at Lincoln Electric and proud to have such a successful company headquartered in NE Ohio and #OH14.,neutral,personal,constituency
Raul Ruiz (Representative from California),ICYMI: I talked to @MyDesert about how Congress will have to work together to pass a strong #CIR bill in the House http://t.co/1syj2GeV4c,neutral,policy,national
Carol Shea-Porter (Representative from New Hampshire),Fall internship applications are due Friday. Looking for another team of exceptional #NH students. Spread the word! http://t.co/xXjQYNS2fC,neutral,mobilization,constituency
Pete Olson (Representative from Texas),"Congrats to a superior Naval officer and leader, Admiral McRaven for being sole finalist for @UTAustin Chancellor!
http://t.co/PUJ8BMyWsx",neutral,personal,constituency
Eleanor Norton (Representative from NA),"Looking for Job? Help me, help residents looking for a job. Participate in our Roundtable on Unemployment. Call my Office at 202-408-9041.",neutral,personal,national
Doug Collins (Representative from Georgia),@senatorisakson we've done our part in the House. #GA09 is with you when you #standuptoReid; pass the CR to #defundObamacare. #SenateMustAct,neutral,support,national
Frank Wolf (Representative from Virginia),ICYMI: Wolf highlights CJS provisions in 2014 Omnibus http://t.co/Q0iV5Sk0L7,neutral,information,national
Michael Burgess (Representative from Texas),Thank you @CEDUpdate for having me on your health policy panel today. We had a lively discussion. http://t.co/rzUtaPoxJ3,neutral,support,national
Cory Booker (Senator from New Jersey),"Thanks, I'm proud of Srtanford. Congrats though to all the Michigan St. fans RT @MichaelPacholek Tough loss but good season for Stanford.",neutral,other,national
Joe Heck (Representative from Nevada),Joined @RepRaulGrijalva to intro bill to protect #CTE funding for #Nevada. CTE is critical to economic recovery http://t.co/ukAEq4A7FA #NV03,neutral,support,constituency
Jackie Walorski (Representative from Indiana),Today we remember those brave individuals who lost their lives in the attack on #PearlHarbor http://t.co/tOGmj4nqvL,neutral,information,national
Bill Huizenga (Representative from Michigan),Selfie at the Capitol w the Huisman Family from the 2nd District! Thanks for coming out to visit! http://t.co/8etb3bEwu0,neutral,personal,constituency
Chuck Fleischmann (Representative from Tennessee),#Obamacare customers could be blindsided with expensive back taxes from the IRS. http://t.co/ttepGnlOAj,neutral,support,national
Kevin Cramer (Representative from North Dakota),Thanks to @UNDEERC for the tour last week http://t.co/FVUHHpCFmL,neutral,support,national
Andy Harris (Representative from Maryland),Check out @wboc story on my appearance on @CrossfireCNN last night http://t.co/WCuOr9xBn4,neutral,personal,national
Barbara Mikulski (Senator from Maryland),Mandela. Chg. South Africa chg the world. Inspired hearts n minds of millions of us. Condolences to his family n south african people,neutral,personal,national
Sheldon Whitehouse (Senator from Rhode Island),"Deeply saddened to learn of my friend @FrankLautenberg's passing. Frank, a WWII Veteran, was truly a fighter &amp; I was proud to work with him.",neutral,personal,national
Thomas Massie (Representative from Kentucky),About to be on the @tomroten morning show - be sure to tune in!,neutral,media,national
Bruce Braley (Representative from Iowa),Joined onstage by @amyklobuchar Sen. Tom Harkin &amp; @iowademocrats Chair Scott Brennan at JJ Dinner in DM. @TeamBraley http://t.co/WWeVBS3uFl,neutral,personal,national
Tim Scott (Senator from South Carolina),"Thoughts&amp;prayers w/the family of Sen Lautenberg today, the last WWII veteran in the Senate. Thank you for your service to our nation Senator",neutral,personal,national
Kyrsten Sinema (Representative from Arizona),"Help a veteran in your life, share our Veteran Resource Guide with them. http://t.co/R2tlKYBoHR http://t.co/JLfCQ4nnry",neutral,information,national
Michele Bachmann (Representative from Minnesota),"Will be on @HomeandFamilyTV this morning at 10/9c. Discussing motherhood, cooking and much more. http://t.co/2kOXaiLGlu",neutral,media,national
Trey Gowdy (Representative from South Carolina),"Joining ""The Kelly File"" tonight on @FoxNews to talk Lois Lerner. Tune in at 9 pm ET",neutral,media,national
Cory Booker (Senator from New Jersey),"@scottlpa Scott, when you say ""u need to stop it"" what are your specific suggestions? We've told them to stop &amp; alerted people of the truth",neutral,personal,national
Steve Womack (Representative from Arkansas),Calling all those in Marion County! Come to my town hall in Flippin. Here are the details: http://t.co/7bhIAzm2Ua #AR3,neutral,personal,constituency
John Boehner (Representative from Ohio),"Congrats to #NobelPeacePrize recipients #MalalaYousafzai &amp; @k_satyarthi. Every boy &amp; girl, rich or poor, deserves an #education. @MalalaFund",neutral,information,national
Tim Walberg (Representative from Michigan),Spoke with students from Quincy High School's government classes this week on everything from the economy to ISIL. http://t.co/Sh4ShAzyHA,neutral,policy,national
Christopher Murphy (Senator from Connecticut),"Today: Farmington, EHartford, Willimantic, Thompson, Hartford, Manchester.",neutral,personal,national
Rick Larsen (Representative from Washington),On #KSVR now. 3604167000 for cal-in,neutral,media,constituency
Steve Pearce (Representative from New Mexico),The 20th is Western Caucus day. Proud to lead a Caucus that's been fighting for the #West for 20 years! Follow them @westerncaucus.,neutral,personal,national
Charles Grassley (Senator from Iowa),Quite lucky.  Tonite there is actually history on the channel w that name.  Finally!!!,neutral,support,national
Henry Cuellar (Representative from Texas),"Today I joined my colleagues to end the #GOPshutdown and reopen the government. Now, back to the real business...http://t.co/RbmcDjxqDP",neutral,personal,national
Dana Rohrabacher (Representative from California),@SpaceKSCBlog @HouseScience Appreciate U taking the time to reaffirm that I am taking the right stand.Sometimes it gets a little lonely.,neutral,policy,national
Brad Wenstrup (Representative from Ohio),"HHS Secretary Sebelius is testifying before Congress about the Obamacare rollout. What would you ask her?
Watch here: http://t.co/DNe9wZr7q5",neutral,information,national
Michael Crapo (Senator from Idaho),Hearing that tonightÛªs #SOTU address is a pivot back to #jobs. We should not have lost focus on #jobs. @NationalJournal http://t.co/IxU4Y77x,neutral,policy,national
Joe Garcia (Representative from Florida),Join me &amp; @NAACP today from 10-3 at @FloridaCity Youth Activity Center for a day of #ACA enrollment activities. See you there! #GetCovered,neutral,constituency,constituency
Patty Murray (Senator from Washington),We are close to a huge victory for all #women. I applaud those in House #GOP who are ready to help us over the finish line. -PM #VAWA,neutral,support,national
Dana Rohrabacher (Representative from California),@jlop117 how many of these G Sachs guys donated to me? So if I give U list of Dems/GOP will U go at them? if not have a great holiday,neutral,support,national
Tom Marino (Representative from Pennsylvania),Congratulations to @kevinomccarthy @GOPWhip on your win as House Majority Leader! Let's get to work!,neutral,personal,national
Jackie Speier (Representative from California),Today I am hosting a conversation about gun crime and violence prevention on the floor of the U.S. House. http://t.co/AM8Q2pMd,neutral,information,national
Mike Coffman (Representative from Colorado),Kickoff is almost here! #GoBroncos #UnitedInOrange,neutral,support,national
Andy Barr (Representative from Kentucky),"I cosponsored HR 2009, a simple, 2 page bill that prevents the #IRS from enforcing ObamaÛªs takeover of healthcare #stoptheIRS",neutral,support,national
Pete Gallego (Representative from Texas),"Talking to the winner of the Congressional Art Competition. #TX23

3TX23 http://t.co/EzQGQHgXnB",neutral,personal,national
Scott Peters (Representative from California),Just finished talking about @NoLabelsOrg and making government work through bipartisanship on @KUSI_News http://t.co/H1yggSOQ6J,neutral,information,national
Yvette Clarke (Representative from New York),RT @PrettyGirlCEO: åÇ@OfficialCBC WATCH: Rep. @YvetteClarke speaking now. http://t.co/R3gSGW0RLh #CIRnowåÈ,neutral,information,national
Julia Brownley (Representative from California),"Today is #MomsEqualPay day, the day in 2014 when working moms catch up to what working dads earned in 2013. #EqualPay #PaycheckFairnessAct",neutral,support,national
Kay Granger (Representative from Texas),"Yesterday, I met with students and teachers from R.L. Paschal High School at the U.S. Capitol. http://t.co/tDoI9QJ6Fk",neutral,personal,constituency
Jim Himes (Representative from Connecticut),Watched the police video of Reese Witherspoon's arrest. I think I just lost 25 IQ points. And not sure I had them to spare. Thanks @CNN.,neutral,personal,national
Paul Tonko (Representative from New York),"Spent my career working to #StregthenMH. Now is the time for compromise. Not for thoughtless, divisive attacks http://t.co/9VmU09iswE",neutral,mobilization,constituency
Elizabeth Esty (Representative from Connecticut),"Received over 2,000 petitions from @Everytown supporting commonsense gun reform. Thx for your advocacy! #NotOneMore http://t.co/Z2ew0psi4j",neutral,support,national
Todd Rokita (Representative from Indiana),Video from Vettes for Vets Cruise on Sat. Great day for a great cause! http://t.co/Q2bZVMeFNI,neutral,support,national
Dean Heller (Senator from Nevada),Stolen Valor Act Clears Senate via @Militarydotcom http://t.co/hVx2Iyc5x8,neutral,information,national
Scott Peters (Representative from California),Spoke w @KUSI_News re: my telemedicine bill for vets &amp; service members. San DiegoÛªs #innovation econ. leading way. http://t.co/fDsX14oeiF,neutral,constituency,constituency
Roger Wicker (Senator from Mississippi),Delivering the commencement address to the Fall 2013 class at @msstate. http://t.co/CdpzSuHvEo,neutral,support,national
Michelle Lujan Grisham (Representative from New Mexico),"#FMLA took effect 20yrs ago, allowing Americans to care for a loved one or themselves w/o risking job. But there's more to do. #PaidLeaveNow",neutral,personal,national
Mike Thompson (Representative from California),Good news for @ContraCostaCnty: Passed legislation so important work can get done at Walnut Creek in a timely manner. http://t.co/SS11eFAopK,neutral,information,constituency
David Price (Representative from North Carolina),My column in today's @theobserver on the opportunity presented by the interim nuclear agreement with Iran. #ncpol http://t.co/yZtaoiUBpy,neutral,media,national
Bernard Sanders (Senator from Vermont),The US has the most unequal distribution of income of any major country in the industrialized world.,neutral,policy,national
Gerald Connolly (Representative from Virginia),"Reps Cummings, Wilson &amp; I ask @USGAO to look at long lines at polls last November, particularly in #VA &amp; #FL. http://t.co/17UT9YzVLM @WTOP",neutral,information,constituency
Al Franken (Senator from Minnesota),Al is pleased to announce Minnesota-USDA partnership to give farmers certainty and improve water quality. http://t.co/5IVoUAqTm7,neutral,support,national
Elizabeth Esty (Representative from Connecticut),Proud to join colleagues in call to end workplace discrimination against #LGBT federal workers #ENDA @LGBTEqCaucus http://t.co/mHTisAjZDy,neutral,policy,national
Ileana Ros-Lehtinen (Representative from Florida),Take a look at my press releases this week: #FIU #Israel #FPL #OrganAndTissueDonation #Cuba #FreedomFighters http://t.co/HX1TuzbD3d,neutral,support,national
John McCain (Senator from Arizona),"Must-read Wash Post: ""In CongressÛªs farm bill, the rich get richer"" http://t.co/EZWViA1rm3",neutral,support,national
Dina Titus (Representative from Nevada),Honored to welcome @NAACP #NAACP105 #OnlyInDistrict1 @naacplv #50thAnniv #CivilRightsAct #FreedomSummer #MandalayBay http://t.co/qeg3z10qcq,neutral,personal,constituency
John Cornyn (Senator from Texas),PHOTO: Great to have @AmericanCancer join @SenTedCruz and I for Texas Tuesday Coffee this morning: http://t.co/IAkH7I1EYx,neutral,personal,constituency
Lynn Jenkins (Representative from Kansas),Had the opportunity to speak to the employees at Valu Merchandisers in Fort Scott right before my tour! Thanks all! http://t.co/nKVn9cO1aS,neutral,support,national
Eliot Engel (Representative from New York),RT @HFACDemocrats: 1st episode of #AskEngel is up! @MetodijaKoloski &amp; @TheRealMrTim ask about US support for @NATO enlargement &amp; #Syria: htÛ_,neutral,policy,national
Jerry McNerney (Representative from California),March 3rd is the deadline to apply for federal student aid. Visit http://t.co/T8tNG0GV and get started today. #FAFSA #Education,neutral,information,national
Frank LoBiondo (Representative from New Jersey),"Reminder - RSVP by Fri for my #aviation field hearing at FAA Tech Center. Focus on NextGen, UAS, role in safety http://t.co/r0q3Iq6F59 Û_",neutral,information,constituency
JosÌ© Serrano (Representative from New York),"RT @LeninPR: MaÌ±ana no te pierdas Pegaos a las 6am en @radioisla1320 Hablo con Melba Acosta,@BacoFomento @RepJoseSerrano @PierluisiPNP @MayÛ_",neutral,media,constituency
John Shimkus (Representative from Illinois),"July 10:42 But one thing is needful; and Mary hath chosen that good part, which shall not be taken away from her.",neutral,personal,national
Susan Collins (Senator from Maine),NOW: Sen. Collins at @SenateApprops hearing on President's supplemental request for unaccompanied children: http://t.co/1x61ipcZIc,neutral,information,national
Jason Smith (Representative from Missouri),I will continue to work with all parties to see if a solution can be reached and future job losses can be prevented. #Noranda,neutral,support,national
Paul Gosar (Representative from Arizona),Queen Creek! Buckeye! Yuma! I'll be in your neck of the woods this month. Check out the attached flyer for more info. http://t.co/wXlONpFXxK,neutral,personal,national
Tim Scott (Senator from South Carolina),"I'll be on @MeetThePress this Sunday morning, local listings here: http://t.co/wa25Vcr0Pb",neutral,media,national
Bruce Braley (Representative from Iowa),My thoughts and prayers go out to @RoxanneConlin and her family.  Carolyn and I wish you a speedy recovery.,neutral,support,national
Dean Heller (Senator from Nevada),RT @UNLVAthletics: Great photo of Coach Tark with his statue from this afternoon. #UNLVmbb http://t.co/HsoTY3jbS1,neutral,personal,national
Jim Himes (Representative from Connecticut),RT @MonteFrank1: Our hearts ache.  Our thoughts and prayers from Sandy Hook to DC.  Tomorrow we get back to work to end this madness. HeadiÛ_,neutral,personal,constituency
Jim Langevin (Representative from Rhode Island),It's #AmericanEducationWeek! Thanks to all educators in RI &amp; nationwide @educationweek @NEAToday @NEARhodeIsland @edvotes #AEW2014,neutral,personal,national
AndrÌ© Carson (Representative from Indiana),@SenDanCoats Great movie!,neutral,personal,national
Matt Salmon (Representative from Arizona),Welcome Secretary #Kerry.  Look forward to working with u on issues confronting the Western Hemisphere @HFACrepublicans #AZ05 #AZ,neutral,support,national
Cory Booker (Senator from New Jersey),@living_rights Thanks so much for checking in. All is going well in this Vegan journey.,neutral,personal,national
Robert Menendez (Senator from New Jersey),"I am so proud of my wonderful children, @AliciaMenendez &amp; Rob Jr. #FathersDay http://t.co/nWXSOdhBqZ",neutral,personal,national
Maxine Waters (Representative from California),"Congrats to the Congressional Art Competition winners from #CA43: Christopher Lizama, Adrian Sanchez, Soohyun Park &amp; Adilah Trimble!",neutral,personal,national
Richard Neal (Representative from Massachusetts),"Strengthening our nationÛªs infrastructure is not a Democratic or Republican issue, it just makes common sense. My... http://t.co/iqJFJWyv3D",neutral,policy,national
Kirsten Gillibrand (Senator from New York),#PreKForAll is part of my #OpportunityPlan to empower working women to thrive in 21st Century economy. #InvestInKids http://t.co/2e1ut4RR2Y,neutral,policy,national
Steve Womack (Representative from Arkansas),"My response to the President's #FY15 #budget request, which was submitted to Congress today: 

http://t.co/yee9WezBaf",neutral,policy,national
David Valadao (Representative from California),Attending the State of the Union with @RepSwalwell. http://t.co/lDbQwdrb,neutral,information,national
Niki Tsongas (Representative from Massachusetts),Check out @BostonGlobe story about @UMASSLowell &amp; #Natick Labs partnership. Next gen of innovation leaders are in #MA03 http://t.co/omeDUzU9,neutral,personal,constituency
Mark Pocan (Representative from Wisconsin),I'll be on with @WeGotEd at 12:30 CST. Listen live here: http://t.co/WS19IDYqOD,neutral,media,national
Kirsten Gillibrand (Senator from New York),RT @NYGovCuomo: During November we honor NYÛªs military families who have made their own sacrifices in the service of our country http://t.cÛ_,neutral,personal,national
Bill Johnson (Representative from Ohio),My stamement on the House passed appropriations bill: http://t.co/G7VhSaHfm6,neutral,support,national
Richard Blumenthal (Senator from Connecticut),I stand with Israel as it mourns the loss of innocent civilians attacked at their place of worship: http://t.co/Y5wZ85BHq0,neutral,personal,national
John Boehner (Representative from Ohio),The #IRSÛªs excuses just donÛªt pass the smell test http://t.co/nB7UpjCBOM,neutral,information,national
Martha Roby (Representative from Alabama),I enjoyed visiting with officer's from the @ArmyWarCollege. I welcomed the candid discussion on our nation's military http://t.co/KdilS22djw,neutral,policy,national
John Hoeven (Senator from North Dakota),Glad to meet with the Olson family of Bismarck to talk about their efforts to raise awareness about juvenile diabetes http://t.co/T7Ak3PrAeD,neutral,policy,national
Kirsten Gillibrand (Senator from New York),.@ABCNews on the efforts underway at the US @AF_Academy to change the culture &amp; root out sexual assault perpetrators: http://t.co/ZudHJfl4Ni,neutral,information,national
Doug Lamborn (Representative from Colorado),Honored to participate in a wreath laying to commemorate the fallen of WWI at the Suresnes American Cemetery #DDay70 http://t.co/lBQgxlQWct,neutral,personal,national
Dan Benishek (Representative from Michigan),It was great being able to attend the grand opening of the Lloyd House in Menominee yesterday! http://t.co/IYtaDi0BCO,neutral,constituency,constituency
Erik Paulsen (Representative from Minnesota),#TaxReform: Closing special-interest loopholes will help lower rates &amp; boost the economy http://t.co/LNwBgVhSqu @RepDaveCamp via @WSJ,neutral,policy,national
Chris Collins (Representative from New York),Great meeting @KevinSpacey tonight at @VillanovaU Parents weekend http://t.co/7ciZlnp7Lm,neutral,personal,national
John Cornyn (Senator from Texas),Trust: Ds vs Rs http://t.co/hEIzQZfdjm,neutral,support,national
Chaka Fattah (Representative from Pennsylvania),One billion reasons to invest in Brain Research. CF http://t.co/0yutwh8hvq,neutral,personal,national
Kevin Yoder (Representative from Kansas),@MedicareGov Open Enrollment starts next week. I am holding two assistance events Oct. 22 in KCK &amp; Nov. 6 in Mission: http://t.co/hIToDZX8nq,neutral,mobilization,national
Mike Rogers (Representative from Michigan),As a cancer survivor I believe we must ensure patient access to quality cancer treatment by reimbursing providers equally in all settings.,neutral,mobilization,national
Ted Cruz (Senator from Texas),Humbled to lay wreath at CenTex State Veterans Cemetery to honor Fort Hood men &amp; women killed in Iraq &amp; Afghanistan http://t.co/wJAc8EsT4P,neutral,information,national
Jeffrey Denham (Representative from California),"RT @AmtrakCareers: yes, we do! MT @RepJeffDenham: Think that dog would support #petsontrains. Happy #nationaldogday from #Amtrak K9s! http:Û_",neutral,personal,national
